brand,discounted_price,ratings
GOOGLE,29999,4.3
GOOGLE,29999,4.3
INFINIX,8499,4.3
INFINIX,8999,4.2
INFINIX,8999,4.2
INFINIX,9999,4.2
INFINIX,14999,4.2
INFINIX,13499,4.2
INFINIX,19999,4.2
INFINIX,14999,4.2
INFINIX,9999,4.3
INFINIX,9999,4.2
INFINIX,8199,4.4
INFINIX,8199,4.4
INFINIX,8199,4.4
INFINIX,8299,4.3
INFINIX,8199,4.4
INFINIX,13499,4.2
INFINIX,14999,4.2
INFINIX,8999,4.3
INFINIX,8999,4.3
INFINIX,11999,4.3
INFINIX,11999,4.3
INFINIX,7199,4.3
INFINIX,16999,4.1
INFINIX,15999,4.2
INFINIX,15999,4.2
INFINIX,16999,4.1
INFINIX,15999,4.2
INFINIX,8999,4.3
INFINIX,11499,4.3
INFINIX,14499,4.2
INFINIX,13499,4.2
INFINIX,14499,4.2
INFINIX,14499,4.2
INFINIX,8299,4.3
INFINIX,10999,4.2
INFINIX,8999,4.3
INFINIX,10999,4.3
INFINIX,10999,4.3
INFINIX,9999,4.2
INFINIX,9999,4.2
INFINIX,8499,4.3
INFINIX,13999,4.3
INFINIX,10999,4.2
INFINIX,8299,4.3
INFINIX,6999,4.3
INFINIX,5799,4.4
INFINIX,5799,4.4
INFINIX,5799,4.4
INFINIX,14999,4.2
INFINIX,13999,4.3
INFINIX,14999,4.2
INFINIX,8499,4.3
INFINIX,8499,4.3
INFINIX,8999,4.2
INFINIX,8999,4.2
INFINIX,6999,4.3
INFINIX,6499,4.3
INFINIX,13099,4.2
INFINIX,13099,4.2
INFINIX,6999,4.3
INFINIX,10999,4.3
INFINIX,6999,4.3
INFINIX,11499,4.3
INFINIX,9999,4.2
INFINIX,17999,4.2
INFINIX,17999,4.2
INFINIX,12499,4.2
IQOO,29999,4.4
IQOO,24599,4.3
IQOO,14535,4.2
IQOO,30300,4.4
IQOO,13976,4.1
IQOO,15824,4.3
IQOO,17489,4.2
IQOO,29990,4.4
IQOO,16239,4.3
IQOO,14394,4.2
IQOO,23800,4.3
ITEL,5899,4.3
ITEL,6999,4.1
ITEL,5899,4.3
ITEL,5699,4.2
ITEL,5699,4.2
ITEL,5850,4.3
LAVA,7999,4.1
LAVA,10260,4.4
LAVA,7999,4.1
LAVA,7799,4.1
LAVA,7499,4.1
MICROMAX,5999,4.2
MICROMAX,5999,4.2
MOTOROLA,24999,4.1
MOTOROLA,6999,4.2
MOTOROLA,22999,4.1
MOTOROLA,6999,4.2
MOTOROLA,19999,4.2
MOTOROLA,21499,4.1
MOTOROLA,39999,4.4
MOTOROLA,16999,4.2
MOTOROLA,6999,4.2
MOTOROLA,16499,4.2
MOTOROLA,10999,4.2
MOTOROLA,16999,4.1
MOTOROLA,11999,4.2
MOTOROLA,8999,4.2
MOTOROLA,12999,4.1
MOTOROLA,6999,4.2
MOTOROLA,11999,4.2
MOTOROLA,6999,4.2
MOTOROLA,10499,4.2
MOTOROLA,12999,4.2
MOTOROLA,10499,4.2
MOTOROLA,16499,4.2
MOTOROLA,9499,4.2
MOTOROLA,8999,4.1
MOTOROLA,7999,4.2
MOTOROLA,20499,4.1
MOTOROLA,12999,4.1
MOTOROLA,10999,4.2
MOTOROLA,10999,4.1
MOTOROLA,16999,4.1
MOTOROLA,9499,4.2
MOTOROLA,15999,4.2
MOTOROLA,15999,4.2
MOTOROLA,8999,4.2
MOTOROLA,16999,4.1
MOTOROLA,14499,4.2
MOTOROLA,7999,4.2
MOTOROLA,19999,4.2
MOTOROLA,24999,4.1
MOTOROLA,7999,4.2
MOTOROLA,15999,4.2
MOTOROLA,10999,4.2
MOTOROLA,15999,4.2
MOTOROLA,22999,4.1
MOTOROLA,20999,4.1
MOTOROLA,39999,4.4
ONEPLUS,21999,4.3
ONEPLUS,19998,4.3
ONEPLUS,19975,4.3
ONEPLUS,19980,4.3
ONEPLUS,19888,4.3
ONEPLUS,19922,4.3
ONEPLUS,19985,4.3
OPPO,11990,4.3
OPPO,24990,4.2
OPPO,17089,4.3
OPPO,11400,4.2
OPPO,11400,4.2
OPPO,13999,4.4
OPPO,10990,4.4
OPPO,14180,4.3
OPPO,9499,4.5
OPPO,12499,4.4
OPPO,12499,4.4
OPPO,17990,4.4
OPPO,15990,4.3
OPPO,15999,4.3
OPPO,15999,4.3
OPPO,15990,4.3
OPPO,25490,4.2
OPPO,15990,4.5
OPPO,13990,4.4
OPPO,12990,4.3
OPPO,21890,4.2
OPPO,12990,4.3
OPPO,14990,4.3
OPPO,20999,4.4
OPPO,13990,4.4
OPPO,21999,4.4
OPPO,17999,4.3
OPPO,15499,4.3
OPPO,29999,4.3
OPPO,12910,4.3
OPPO,15199,4.1
OPPO,13499,4.3
OPPO,14990,4.3
OPPO,9990,4.4
OPPO,14990,4.4
OPPO,16490,4.3
OPPO,9990,4.3
OPPO,17999,4.3
OPPO,13990,4.4
OPPO,29999,4.3
OPPO,16999,4.4
OPPO,16490,4.3
OPPO,14499,4.3
OPPO,13999,4.4
OPPO,19428,4.1
OPPO,20880,4.3
OPPO,16999,4.4
OPPO,17990,4.4
OPPO,9370,4.5
OPPO,10285,4.3
OPPO,17397,4.3
OPPO,17999,4.3
OPPO,17800,4.3
OPPO,17999,4.3
REALME,9299,4.5
REALME,17899,4.3
REALME,19999,4.4
REALME,22999,4.3
REALME,24999,4.5
REALME,13999,4.2
REALME,26999,4.4
REALME,16999,4.3
REALME,20999,4.3
REALME,13999,4.4
REALME,16999,4.4
REALME,13999,4.4
REALME,10999,4.5
REALME,14999,4.5
REALME,28999,4.4
REALME,6999,4.5
REALME,7499,4.4
REALME,7499,4.4
REALME,19999,4.4
REALME,9499,4.6
REALME,24999,4.5
REALME,24999,4.5
REALME,25999,4.5
REALME,12999,4.4
REALME,12999,4.4
REALME,9499,4.6
REALME,6299,4.1
REALME,16999,4.4
REALME,14999,4.5
REALME,7499,4.4
REALME,15999,4.5
REALME,17499,4.4
REALME,15999,4.5
REALME,15990,4.3
REALME,15499,4.4
REALME,13999,4.2
REALME,28999,4.4
REALME,14999,4.5
REALME,14999,4.5
REALME,15499,4.4
REALME,16999,4.3
REALME,28999,4.4
REALME,17999,4.4
REALME,15499,4.3
REALME,38999,4.1
REALME,16499,4.3
REALME,6870,4.5
REALME,16999,4.3
REALME,16999,4.3
REALME,6749,4.1
REALME,9299,4.5
REALME,13499,4.4
REALME,5749,4.3
REALME,6749,4.1
REALME,13999,4.5
REALME,11999,4.4
REALME,6749,4.1
REALME,17999,4.4
REALME,13999,4.5
REALME,15999,4.4
REALME,18999,4.4
REALME,8999,4.3
REALME,8999,4.3
REALME,11999,4.5
REALME,20999,4.3
REALME,16999,4.3
REALME,8499,4.3
REALME,8499,4.3
REALME,7499,4.4
REALME,19999,4.3
REALME,18999,4.4
REALME,34999,4.3
REALME,6880,4.5
REALME,8999,4.4
REALME,9499,4.4
REALME,10499,4.4
REALME,18999,4.4
REALME,9999,4.4
REALME,9999,4.4
REALME,5299,4.3
REALME,34999,4.3
REALME,15380,4.3
REALME,9999,4.4
REALME,16499,4.3
REALME,34999,4.3
REALME,6999,4.5
REALME,11999,4.4
REALME,21890,4.2
REALME,12999,4.4
REALME,16999,4.3
REALME,5749,4.3
REALME,9499,4.4
REALME,5749,4.3
REALME,16999,4.4
REALME,8999,4.3
REALME,18999,4.4
REALME,17999,4.4
REALME,18999,4.4
REALME,18999,4.4
REALME,19999,4.4
REALME,17999,4.4
REALME,15999,4.4
REALME,25999,4.5
REALME,15999,4.5
REALME,15499,4.3
REALME,29999,4.3
REALME,31999,4.3
REALME,33999,4.3
REALME,33999,4.3
REALME,33999,4.3
REALME,29999,4.3
REALME,29999,4.3
REALME,11999,4.4
REALME,26999,4.4
REALME,10499,4.4
REALME,24999,4.4
REALME,22999,4.3
REALME,11999,4.3
REALME,9999,4.4
REALME,9999,4.4
REALME,36999,4.1
REALME,17999,4.4
REALME,8999,4.4
REALME,8999,4.4
REALME,8999,4.4
REALME,11534,4.5
REALME,11745,4.5
REALME,10499,4.5
REALME,16999,4.3
REALME,16999,4.4
REALME,36999,4.1
REALME,31999,4.4
SAMSUNG,11499,4.3
SAMSUNG,22999,4.2
SAMSUNG,13499,4.2
SAMSUNG,11570,4.3
SAMSUNG,11244,4.2
SAMSUNG,25490,4.3
SAMSUNG,12899,4.3
SAMSUNG,17499,4.1
SAMSUNG,22999,4.2
SAMSUNG,9999,4.4
SAMSUNG,33499,4.2
SAMSUNG,18499,4.2
SAMSUNG,25990,4.3
SAMSUNG,18757,4.3
SAMSUNG,13499,4.3
SAMSUNG,20999,4.1
SAMSUNG,33499,4.2
SAMSUNG,19999,4.3
SAMSUNG,14999,4.1
SAMSUNG,9999,4.4
SAMSUNG,11499,4.3
SAMSUNG,11499,4.3
SAMSUNG,14999,4.1
SAMSUNG,15999,4.1
SAMSUNG,33499,4.2
SAMSUNG,10489,4.2
SAMSUNG,9450,4.2
SAMSUNG,12700,4.3
SAMSUNG,13499,4.3
SAMSUNG,8699,4.1
SAMSUNG,27989,4.2
SAMSUNG,10980,4.2
SAMSUNG,10499,4.3
SAMSUNG,11499,4.3
SAMSUNG,10670,4.2
SAMSUNG,27499,4.2
SAMSUNG,25999,4.1
SAMSUNG,12090,4.2
SAMSUNG,10499,4.2
SAMSUNG,22999,4.1
SAMSUNG,31390,4.1
SAMSUNG,15999,4.1
SAMSUNG,29990,4.1
SAMSUNG,12340,4.2
SAMSUNG,11099,4.4
SAMSUNG,12099,4.4
SAMSUNG,15999,4.3
SAMSUNG,14499,4.3
SAMSUNG,11099,4.4
SAMSUNG,15999,4.3
SAMSUNG,15999,4.3
SAMSUNG,11099,4.4
SAMSUNG,12099,4.4
SAMSUNG,15999,4.3
SAMSUNG,8999,4.5
SAMSUNG,8999,4.5
SAMSUNG,11044,4.2
SAMSUNG,14999,4.2
SAMSUNG,19990,4.3
SAMSUNG,14999,4.2
SAMSUNG,11499,4.3
SAMSUNG,16771,4.2
SAMSUNG,12099,4.4
SAMSUNG,16499,4.2
SAMSUNG,15990,4.3
SAMSUNG,14999,4.2
SAMSUNG,34999,4.4
SAMSUNG,16499,4.2
SAMSUNG,18634,4.3
SAMSUNG,8149,4.1
SAMSUNG,34999,4.4
SAMSUNG,15999,4.1
SAMSUNG,34999,4.4
SAMSUNG,8966,4.2
SAMSUNG,15990,4.3
SAMSUNG,22999,4.2
SAMSUNG,11499,4.2
SAMSUNG,12890,4.3
SAMSUNG,27699,4.2
SAMSUNG,16964,4.2
SAMSUNG,16965,4.2
SAMSUNG,15700,4.3
SAMSUNG,16499,4.2
TECNO,8799,4.2
TECNO,8199,4.2
TECNO,10890,4.3
TECNO,9798,4.3
TECNO,10247,4.1
TECNO,7299,4.2
TECNO,9499,4.2
TECNO,8140,4.2
TECNO,13999,4.2
TECNO,13977,4.2
TECNO,6464,4.2
TECNO,10790,4.1
TECNO,7299,4.2
TECNO,8888,4.2
TECNO,7899,4.2
TECNO,6990,4.3
TECNO,6865,4.3
TECNO,8749,4.2
TECNO,7689,4.2
TECNO,9135,4.2
TECNO,12490,4.3
TECNO,10869,4.3
TECNO,9449,4.1
TECNO,6799,4.3
TECNO,8490,4.2
VIVO,16499,4.3
VIVO,19990,4.3
VIVO,19990,4.3
VIVO,12895,4.3
VIVO,17099,4.4
VIVO,27990,4.3
VIVO,14499,4.3
VIVO,9999,4.3
VIVO,13489,4.3
VIVO,8999,4.3
VIVO,11999,4.5
VIVO,14999,4.4
VIVO,12630,4.3
VIVO,7999,4.2
VIVO,12999,4.5
VIVO,15990,4.3
VIVO,12628,4.3
VIVO,12380,4.4
VIVO,38990,4.3
VIVO,9850,4.3
VIVO,16790,4.4
VIVO,11999,4.5
VIVO,23999,4.4
VIVO,10799,4.3
VIVO,10699,4.3
VIVO,15499,4.3
VIVO,24999,4.3
VIVO,28989,4.3
VIVO,9949,4.2
VIVO,17999,4.3
VIVO,24999,4.3
VIVO,15999,4.4
VIVO,17999,4.3
VIVO,14499,4.5
VIVO,24999,4.3
VIVO,7999,4.1
VIVO,27999,4.3
VIVO,15999,4.4
VIVO,18499,4.4
VIVO,17989,4.4
VIVO,19990,4.3
VIVO,24999,4.2
VIVO,18990,4.3
VIVO,18499,4.4
VIVO,15999,4.3
VIVO,7999,4.2
VIVO,19999,4.7
VIVO,23999,4.4
VIVO,19999,4.7
VIVO,8999,4.3
VIVO,16990,4.4
VIVO,15990,4.3
VIVO,24999,4.4
VIVO,16990,4.4
VIVO,14999,4.4
VIVO,23990,4.3
VIVO,15490,4.3
VIVO,12499,4.4
VIVO,10999,4.3
VIVO,12999,4.5
VIVO,9499,4.3
XIAOMI,29999,4.3
XIAOMI,7285,4.2
XIAOMI,6275,4.3
XIAOMI,12999,4.3
XIAOMI,11499,4.2
XIAOMI,7499,4.3
XIAOMI,11989,4.2
XIAOMI,12680,4.3
XIAOMI,9999,4.3
XIAOMI,10499,4.2
XIAOMI,6249,4.4
XIAOMI,6249,4.4
XIAOMI,7746,4.3
XIAOMI,16999,4.2
XIAOMI,19999,4.3
XIAOMI,11499,4.3
XIAOMI,24999,4.3
XIAOMI,17692,4.2
XIAOMI,29999,4.3
XIAOMI,14999,4.3
XIAOMI,18300,4.2
XIAOMI,20990,4.2
XIAOMI,7499,4.3
XIAOMI,12999,4.2
XIAOMI,7499,4.1
XIAOMI,12639,4.1
XIAOMI,26999,4.3
XIAOMI,12999,4.3
XIAOMI,17290,4.2
XIAOMI,6999,4.3
XIAOMI,11999,4.3
XIAOMI,8585,4.2
XIAOMI,16499,4.2
XIAOMI,6999,4.3
XIAOMI,12263,4.3
XIAOMI,17499,4.2
XIAOMI,25999,4.3
XIAOMI,12999,4.4
XIAOMI,16499,4.2
XIAOMI,16499,4.2
XIAOMI,7673,4.1
XIAOMI,6350,4.3
XIAOMI,16499,4.3
XIAOMI,12999,4.3
XIAOMI,14699,4.3
XIAOMI,23579,4.2
XIAOMI,12999,4.3
XIAOMI,15999,4.2
XIAOMI,11999,4.3
XIAOMI,7499,4.3
XIAOMI,12999,4.3
XIAOMI,13999,4.2
XIAOMI,9299,4.3
XIAOMI,17999,4.3
XIAOMI,6499,4.3
XIAOMI,13999,4.2
XIAOMI,15499,4.2
XIAOMI,11499,4.2
XIAOMI,12999,4.3
XIAOMI,14999,4.3
XIAOMI,11999,4.3
XIAOMI,26999,4.3
XIAOMI,27999,4.3
XIAOMI,21990,4.2
XIAOMI,12788,4.3
XIAOMI,24999,4.3
XIAOMI,24999,4.3
XIAOMI,15499,4.2
XIAOMI,14999,4.2
XIAOMI,27999,4.3
XIAOMI,11999,4.3
XIAOMI,17490,4.2
XIAOMI,17999,4.2
XIAOMI,20499,4.1
XIAOMI,8999,4.2
XIAOMI,17990,4.2
XIAOMI,7499,4.3
XIAOMI,6499,4.3
XIAOMI,7499,4.3
XIAOMI,27999,4.3
XIAOMI,8981,4.2
XIAOMI,18700,4.2
XIAOMI,21999,4.5
XIAOMI,13999,4.2
XIAOMI,9299,4.3
XIAOMI,11999,4.2
XIAOMI,12999,4.2
XIAOMI,11499,4.3
XIAOMI,5999,4.3
XIAOMI,26480,4.3
XIAOMI,26999,4.3
XIAOMI,16499,4.2
XIAOMI,18990,4.2
XIAOMI,7499,4.3
XIAOMI,11999,4.2
XIAOMI,9299,4.3
XIAOMI,11999,4.2
XIAOMI,23290,4.2
XIAOMI,14999,4.3
XIAOMI,7478,4.1
XIAOMI,13999,4.4
XIAOMI,15499,4.2
XIAOMI,7189,4.1
XIAOMI,18999,4.2
XIAOMI,32999,4.3
XIAOMI,22999,4.4
XIAOMI,24999,4.2
XIAOMI,28999,4.2
XIAOMI,16999,4.2
XIAOMI,7999,4.1
XIAOMI,13525,4.3
XIAOMI,5999,4.3
XIAOMI,9094,4.2
XIAOMI,13499,4.3
XIAOMI,6999,4.3
XIAOMI,8751,4.2
XIAOMI,9149,4.2
XIAOMI,19999,4.4
XIAOMI,15900,4.3
XIAOMI,8999,4.4
XIAOMI,11999,4.2
XIAOMI,14495,4.3
XIAOMI,17999,4.3
XIAOMI,11999,4.3
XIAOMI,7499,4.3
XIAOMI,17499,4.2
XIAOMI,24999,4.4
XIAOMI,7095,4.1
XIAOMI,21900,4.2
XIAOMI,16499,4.4
XIAOMI,22990,4.2
XIAOMI,23700,4.2
XIAOMI,10499,4.2
XIAOMI,11463,4.2
XIAOMI,20990,4.2
XIAOMI,16990,4.2
XIAOMI,7499,4.1
XIAOMI,14819,4.3
XIAOMI,20999,4.5
XIAOMI,12999,4.3
XIAOMI,16499,4.2
XIAOMI,14450,4.3
XIAOMI,12999,4.3
XIAOMI,22999,4.4
XIAOMI,10749,4.4
XIAOMI,18999,4.2
XIAOMI,11499,4.2
XIAOMI,23999,4.2
XIAOMI,12999,4.4
XIAOMI,6489,4.3
XIAOMI,24999,4.2
XIAOMI,14999,4.5
XIAOMI,7499,4.3
XIAOMI,8490,4.3
XIAOMI,14699,4.3
XIAOMI,7284,4.2
XIAOMI,37999,4.1
XIAOMI,17499,4.2
XIAOMI,20995,4.2
XIAOMI,16499,4.2
XIAOMI,33500,4.1
XIAOMI,20390,4.3
XIAOMI,17999,4.4
XIAOMI,24999,4.4
XIAOMI,17999,4.5
XIAOMI,24999,4.4
XIAOMI,17999,4.4
